"-OR-","LUB"
"Schedule description is too long.","Opis planu jest za długi."
"Scheduled Fetching","Zaplanowane pobieranie"
"Select a Payment Solution","Select a Payment Solution"
"Send Email Confirmation","Send Email Confirmation"
"Server Error. Please try again.","Błąd serwera. Proszę spróbować później."
"Settlement Consolidation","Settlement Consolidation"
"Settlement Report Settings","Settlement Report Settings"
"Settlement of a chargeback.","Settlement of a chargeback."
"Severe 3D Secure Card Validation","Severe 3D Secure Card Validation"
"Severe Validation Removes Chargeback Liability on Merchant","Severe Validation Removes Chargeback Liability on Merchant"
"Severe validation removes chargeback liability on merchant.","Severe Validation Removes Chargeback Liability on Merchant"
"Shipping","Dostawa"
"Shipping Address","Adres dla dostawy"
"Shipping Method","Metoda dostawy"
"Shop now using (150 X 40)","Kupuj teraz używając (150 x 40)"
"Shop now using (150 X 60)","Kupuj teraz używając (150 x 60)"
"Shortcut","Skrót"
"Shortcut Buttons Flavor","Styl przycisku skrótu"
"Shortcut on Product View","Skrót na widoku produktu"
"Shortcut on Shopping Cart","Skrót w koszyku"
"Sign a billing agreement to streamline further purchases with PayPal.","Podpisz umowę rozliczeniową, aby przetwarzać dalsze zakupy z PayPal."
"Solo","Solo"
"Some PayPal solutions conflict.","Some PayPal solutions conflict."
"Sorry, no quotes are available for this order at this time.","Niestety, żadne możliwości nie są dostępne dla tego zamówienia w chwili obecnej."
"Sort Order","Kolejność sortowania"
"Specifies what the Authorization Honor Period is on the merchant���s PayPal account. It must mirror the setting in PayPal.","Specifies what the Authorization Honor Period is on the merchant���s PayPal account. It must mirror the setting in PayPal."
"Specifies what the Order Valid Period is on the merchant���s PayPal account. It must mirror the setting in PayPal.","Specifies what the Order Valid Period is on the merchant���s PayPal account. It must mirror the setting in PayPal."
"State/Province","Województwo:"
"Static","Statyczny"
"Street Address","Adres pocztowy"
"Street Address %s","Adres pocztowy %s"
"Submitting order information...","Przetwarzanie zamówienia..."
"Subscriber name is too long.","Nazwa subskypcji jest za długa."
"Subscription ID","ID subskrypcji"
"Subscription Payment, either payment sent or payment received","Płatność subskrypcji, wysłana lub otrzymana"
"Subtotal","Suma częściowa"
"Summary Text for Aggregated Cart","Tekst podsumowania dla zebranego koszyka"
"Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","Obsługa kart American Express wymaga dodatkowej umowy. Dowiedz się więcej na <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>."
"Switch/Maestro","Switch/Maestro"
"Telephone","Telefon"
"Test Mode","Tryb testowy"
"The background color for the checkout page around the header and payment form.","Kolor tła na stronie zakupu dookoła nagłówka i formularza płatności."
"The background color for the header of the checkout page. Case-insensitive six-character HTML hexadecimal color code in ASCII.","Kolor tła nagłowka na stronie zakupu. 6-znakowy kod hexadecymalny w ASCII."
"The default number of child authorizations in your PayPal account is 1. To do multiple authorizations please contact PayPal to request an increase.","The default number of child authorizations in your PayPal account is 1. To do multiple authorizations please contact PayPal to request an increase."
"The following error(s) occured:","The following error(s) occured:"
"The image at the top left of the checkout page. Max size is 750x90-pixel. <strong style=""color:red"">https</strong> is highly encouraged.","The image at the top left of the checkout page. Max size is 750x90-pixel. <strong style=""color:red"">https</strong> is highly encouraged."
"The maximum number of child authorizations is reached.","The maximum number of child authorizations is reached."
"The merchant account is not yet verified.","Konto handlowca nie jest zweryfikowane."
"The payment curency does not match any of the merchant\'s balances currency.","The payment curency does not match any of the merchant\'s balances currency."
"The payment eCheck is not yet cleared.","The payment eCheck is not yet cleared."
"The payment is authorized but not settled.","The payment is authorized but not settled."
"The payment is pending because it was made to an email address that is not yet registered or confirmed.","The payment is pending because it was made to an email address that is not yet registered or confirmed."
"The payment is pending while it is being reviewed by PayPal for risk.","The payment is pending while it is being reviewed by PayPal for risk."
"The payment was made via credit card. In order to receive funds merchant must upgrade account to Business or Premier status.","The payment was made via credit card. In order to receive funds merchant must upgrade account to Business or Premier status."
"There is already another PayPal solution enabled. Enable this solution instead?","There is already another PayPal solution enabled. Enable this solution instead?"
"There was an error processing your order. Please contact us or try again later.","Wystąpił problem z przetwarzaniem zamówienia. Skontaktuj się z obsługa sklepu lub spróbuj później."
"This feature needs be enabled first for the merchant account through PayPal technical support.","This feature needs be enabled first for the merchant account through PayPal technical support."
"This operation requires an existing transaction object.","Ta operacja wymaga istniejącego obiektu transakcji."
"Time of Day","Czas dnia"
"Title","Tytuł"
"Transaction ID","ID transakcji"
"Transaction ID must not be empty.","ID transakcji nie może być puste."
"Transaction Information","Informacje o transakcji"
"Transaction reversal by PayPal administrators.","Transaction reversal by PayPal administrators."
"Transaction reversal due to fraud detected by PayPal administrators.","Transaction reversal due to fraud detected by PayPal administrators."
"Transfer Cart Line Items","Produkty linii koszyka transferowego"
"Transfer Shipping Options","Transfer Shipping Options"
"Triggered Fraud Filters","Triggered Fraud Filters"
"URL method for Cancel URL and Return URL","URL method for Cancel URL and Return URL"
"Unable to cancel Express Checkout.","Unable to cancel Express Checkout."
"Unable to change status. Current status is not correspond to real status.","Unable to change status. Current status is not correspond to real status."
"Unable to communicate with the PayPal gateway.","Unable to communicate with the PayPal gateway."
"Unable to initialize Express Checkout review.","Nie można zainicjować opinii zamówień express."
"Unable to initialize Express Checkout.","Unable to initialize Express Checkout."
"Unable to place the order.","Nie można złożyć zamówienia."
"Unable to process Express Checkout approval.","Unable to process Express Checkout approval."
"Unable to start Express Checkout.","Unable to start Express Checkout."
"Unable to update Order data.","Unable to update Order data."
"Unable to update shipping method.","Nie można zaktualizować metody dostawy."
"Unknown Error. Please try again later.","Unknown Error. Please try again later."
"Unknown reason. Please contact PayPal customer service.","Unknown reason. Please contact PayPal customer service."
"Update Order Data","Update Order Data"
"Use Proxy","Używaj proxy"
"Use colon to specify port. For example: ""test.example.com:5224"".","Użyj dwukropka, aby podać port. Np. ""test.example.com:5224""."
"User","Użytkownik"
"User-initiated Currency Conversion","User-initiated Currency Conversion"
"Uses store frontend name by default.","Uses store frontend name by default."
"VAT Number","Numer NIP (VAT UE)"
"Vendor","Dostawca"
"View","Zobacz"
"View Demo","Zobacz demo"
"View Transaction","Zobacz transakcję"
"View Transaction Details","Zobacz szczegóły transakcji"
"Virtual PayPal Debit Card Transaction","Transakcja wirtualną kartą debetową PayPal"
"Virtual Terminal Payment","Płatność wirtualnego terminala"
"Void","Unieważniony"
"Waiting until Customer\'s eCheck will be cleared.","Waiting until Customer\'s eCheck will be cleared."
"We prefer PayPal (150 X 40)","Preferujemy PayPal (150 x 40))"
"We prefer PayPal (150 X 60)","Preferujemy PayPal (150 x 60))"
"Website Payments Plus","Website Payments Plus"
"Website Payments Pro (Includes Express Checkout)","Website Payments Pro (zawiera Express Checkout)"
"Website Payments Pro Hosted Solution","Website Payments Pro Hosted Solution"
"Website Payments Pro Hosted Solution (Includes Express Checkout)","Website Payments Pro Hosted Solution (zwiera Express Checkout)"
"Website Payments Pro Hosted Solution and Express Checkout","Website Payments Pro Hosted Solution i Express Checkout"
"Website Payments Pro Payflow Edition (Includes Express Checkout)","Website Payments Pro Payflow Edition (zawiera Express Checkout)"
"Website Payments Pro Payflow Edition and Express Checkout","Website Payments Pro Payflow Edition i Express Checkout"
"Website Payments Pro and Express Checkout","Website Payments Pro i Express Checkout"
"Website Payments Standard","Płatności internetowe Standard"
"Website Payments Standard Payment","Website Payments Standard Payment"
"What is PayPal?","Co to jest PayPal?"
"Whether to create a billing agreement, if there are no active billing agreements available.","Whether to create a billing agreement, if there are no active billing agreements available."
"Will appear as a payment option only for customers who have at least one active billing agreement.","Will appear as a payment option only for customers who have at least one active billing agreement."
"WorldLink Withdrawal","WorldLink Withdrawal"
"Would you like to sign a billing agreement to streamline further purchases with PayPal?","Czy chcesz podpisać umowę rozliczeniową, aby przetwarzać dalsze zakupy z PayPal?"
"Wrong Order ID (%s) specified.","Wybrano nieprawidłowe ID zamówienia (%s)."
"Wrong PayPal Express Checkout Token specified.","Nieprawidłowy token PayPal Express Checkout."
"Yes","Tak"
"Yes. Matched Address and five-didgit ZIP","Tak. Dokładne dopasowanie adresu i 5 cyfrowego kodu pocztowego"
"You cannot void a verification transaction","You cannot void a verification transaction"
"You will be redirected to the PayPal website in a few seconds.","You will be redirected to the PayPal website in a few seconds."
"You will be redirected to the PayPal website when you place an order.","You will be redirected to the PayPal website when you place an order."
"You will be redirected to the PayPal website.","You will be redirected to the PayPal website."
"You will be required to enter your payment details after you place an order.","Zostaniesz poproszony o podanie swoich danych rozliczeniowych zanim złożysz zamówienie."
"Zip/Postal Code","Kod pocztowy"
"chargeback reimbursed","chargeback reimbursed"
"chargeback settled","chargeback settled"
"customer complaint","Skarga klienta"
"customer triggered a chargeback","customer triggered a chargeback"
"customer triggered money-back guarantee","customer triggered money-back guarantee"
"eBay Auction Payment","Płatność aukcji eBay"
"merchant refunded payment","merchant refunded payment"
"no reason","brak powodu"
"reversal of an adjustment","reversal of an adjustment"
"unknown reason","Nieznany powód"
