"# of Use","ilość użyć"
"%1$s incl tax.","%1$s z podatkiem"
"%s - %s","%s - %s"
"%s Item(s)","%s produkt(ów)"
"%s and above","%s i więcej"
"Product Description","Opis produktu"
"Product Extra Info","Dodatkowe informacje produktu"
"Product Flat Data","Płaskie dane produktu"
"Product ID","ID produktu"
"Product Image Placeholders","Obrazki zastępcze produktu"
"Product Image Watermarks","Znaki wodne produktu"
"Product Images","Obrazki produktu"
"Product Images API","API obrazków produktu"
"Product In Websites","Produkty w witrynach"
"Product Info Column","Kolumna informacji o produkcie"
"Product Information","Informacje o produkcie"
"Product Link Block Template","Szablon blokowy linku produktu"
"Product Link Inline Template","Szablon liniowy linku produktu"
"Product Listing Sort by","Wykaz produktów sortowany wg"
"Product Name","Nazwa produktu"
"Product Prices","Ceny produktu"
"Product Reviews","Recenzje produktu"
"Product Tags","Tagi produktu"
"Product Tier Price API","API poziomów cen produktu"
"Product Type","Typ produktu"
"Product URL Suffix","Sufiks URL produktu"
"Product View Extra Hint","Dodatkowa podpowiedź widoku produktu"
"Product attribute sets API","API zestawów cech produktu"
"Product attributes API","API cech produktu"
"Product collection expected.","Spodziewana kolekcja produktów."
"Product is not loaded","Produkt nie jest załadowany."
"Product links API (related, cross sells, up sells)","API linków produktu (powiązane, sprzedaże dodatkowe i krzyżowe)"
"Product types API","API typów produktu"
"Product with this combination of attributes already associated to configurable.","Produkt z taką kombinacją atrybutów został już przypisany do konfigurowalnego."
"Products","Produkty"
"Products Comparison List","Lista porównania produktów"
"Products Information","Informacje o produktach"
"Products Reviews","Recenzje produktów"
"Products Sitemap","Mapa witryny produktów"
"Products only","Tylko produkty"
"Products per Page on Grid Allowed Values","Dozwolona ilość produktów na stronie (widok siatki)"
"Products per Page on Grid Default Value","Domyślna ilość produktów na stronie (widok siatki)"
"Products per Page on List Allowed Values","Dozwolona ilość produktów na stronie (widok listy)"
"Products per Page on List Default Value","Domyślna ilość produktów na stronie (widok listy)"
"Properties","Właściwości"
"Qty","Ilość"
"Qty Increments","Zwiększanie ilości"
"Qty Uses Decimals","Ilość używa wartości dziesiętnych"
"Qty for Item\'s Status to Become Out of Stock","Minimalna ilość po której produkt otrzyma status Brak w magazynie"
"Qty:","Ilość:"
"Quantity","Ilość"
"Quick Create","Szybkie tworzenie"
"Quick Overview","Krótki opis"
"Quick simple product creation","Szybkie tworzenie prostych produktów składowych"
"Records for ""%s"" store found.","Wpisy dla sklepu ""%s""  znalezione."
"Redirect","Przekierowanie"
"Redirect URL","Przekierowanie URL"
"Regular Price:","Normalna cena:"
"Related Products","Produkty powiązane"
"Remove","Usuń"
"Remove Product From Websites","Usuń produkt z witryn"
"Remove This Item","Usuń ten produkt"
"Remove attribute from attribute set","Usuń cechę z zestawu cech"
"Remove attribute set","Usuń zestaw cech"
"Remove custom option","Usuń indywidualną opcję"
"Remove group from attribute set","Usuń grupę z zestawu cech"
"Remove option","Usuń opcję"
"Remove product assignment","Usuń powiązania produktu"
"Remove product image","Usuń obrazek produktu"
"Remove product link","Usuń link produktu"
"Remove value from custom option","Usuń wartość z indywidualnej opcji"
"Rename existing group","Zmień nazwę istniejącej grupy"
"Rename group","Zmień nazwę grupy"
"Reorganize EAV category structure to flat structure","Przeorganizuj strukturę EAV kategorii do płaskiej struktury"
"Reorganize EAV product structure to flat structure","Przeorganizuj strukturę EAV produktów do płaskiej struktury"
"Reset","Resetuj"
"Results","Rezultaty"
"Retrieve attribute data","Pobierz dane cech"
"Retrieve attribute list","Pobierz listę cech"
"Retrieve attribute options","Pobierz opcje cech"
"Retrieve categories tree","Pobierz drzewo kategorii"
"Retrieve category attributes","Pobierz cechy kategorii"
"Retrieve category data","Pobierz dane kategorii"
"Retrieve hierarchical tree","Pobierz drzewo hierarchiczne"
"Retrieve linked products","Pobierz połączone produkty"
"Retrieve list of assigned products","Pobierz listę powiązanych produktów"
"Retrieve list of option values","Pobierz listę wartości opcji"
"Retrieve list of product custom options","Pobierz listę indywidualnych opcji produktu"
"Retrieve one level of categories by website/store view/parent category","Pobierz jeden poziom kategorii wg strony/widoku sklepu/ nadrzędnej kategorii"
"Retrieve option value info","Pobierz informację o wartości opcji"
"Retrieve product","Pobierz produkt"
"Retrieve product attribute sets","Pobierz zestaw cech produktu"
"Retrieve product image","Pobierz obrazek produktu"
"Retrieve product image list","Pobierz listę obrazków produktu"
"Retrieve product image types","Pobierz typy obrazków produktu"
"Retrieve product link type attributes","Pobierz typ cechy linku dla produktu"
"Retrieve product link types","Pobierz typy linków dla produktu"
"Retrieve product tier prices","Pobierz poziomy cen dla produktu"
"Retrieve product types","Pobierz typy produktu"
"Retrieve products data","Pobierz dane produktów"
"Retrieve products list by filters","Pobierz listę produktów wg filtrów"
"Reviews","Recenzje"
"Roll Over for preview","Najedź kursorem aby podejrzeć"
"Root","Baza"
"SKU","SKU"
"SKU length should be %s characters maximum.","Długość SKU musi mieć co najmniej %s znaków."
"Save","Zapisz"
"Save Attribute","Zapisz cechę"
"Save Attribute Set","Zapisz zestaw cech"
"Save Category","Zapisz kategorię"
"Save Search","Zapisz wyszukiwanie"
"Save and Continue Edit","Zapisz i kontynuuj edycję"
"Saved %d record(s)","Zapisano %d produkt(y)"
"Scope","Zakres"
"Scope must not be changed, because the attribute is used in configurable products.","Zasięg nie może być zmieniony ponieważ atrybut użyto w produktach konfigurowalnych."
"Search","Szukaj"
"Search Engine Optimizations","Optymalizacja dla wyszukiwarek"
"Search Information","Informacje o wyszukiwaniu"
"Search Query","Fraza wyszukiwania"
"Search Term with such search query already exists.","Wyrażenie z takim zapytaniem już istnieje."
"Search Weight","Waga wyszukiwania"
"Searchable","Widoczny w wynikach wyszukiwania"
"See price before order confirmation.","Zobacz cenę przed potwierdzeniem zamówienia."
"Select Category...","Wybierz kategorię..."
"Select Configurable Attributes ","Wybierz konfigurowalne cechy "
"Select Product...","Wybierz produkt..."
"Select type of option","Proszę wybrać typ opcji"
"Select type options required values rows.","Proszę wybrać typ opcji z wymaganymi wartościami."
"Selected Product Types","Wybrane typy produktu"
"Send Count","Wyślij licznik"
"Set Ascending Direction","Ustaw kierunek rosnący"
"Set Descending Direction","Ustaw kierunek malejący"
"Set Name","Nazwa zestawu"
"Set Root Category for Store","Ustaw kategorię bazową dla sklepu"
"Set root category for this store in the <a href=""%s"">configuration</a>","Wybierz kategorię bazową dla tego sklepu w <a href="%s">konfiguracji</a>"
"Set special price","Ustaw specjalną cenę"
"Set/Get current store view","Ustaw/pobierz widok bieżącego sklepu"
"Settings","Ustawienia"
"Shop By","Kupuj wg"
"Shopping Options","Opcje zakupów"
"Show","Pokaż"
"Show Details","Pokaż szczegóły"
"Show Tags","Pokaż tagi"
"Simple Product","Prosty produkt"
"Site Map","Mapa witryny"
"Sitemap","Mapa witryny"
"Skip import row, is not valid value ""%s"" for field ""%s""","Pominięto wpis, wartość "%s" nie jest prawidłowa dla pola "%s""
"Skip import row, required field ""%s"" for the new customer is not defined.","Pominięto wpis, wymagane pole ""%s"" dla nowego klienta nie zostało zdefiniowane."
"Skip import row, the value ""%s"" is invalid for field ""%s""","Pominięto wpis, wartość "%s" nie jest prawidłowa dla pola "%s""
"Skipping import row, required field ""%s"" for new products is not defined.","Pominięto wpis, wymagane pole "%s" dla nowego produktu nie zostało zdefiniowane."
"Skipping import row, required field ""%s"" is not defined.","Pominięto wpis, wymagane pole ""%s"" jest niezdefiniowane."
"Skipping import row, store ""%s"" field does not exist.","Pominięto wpis, pole witryny ""%s"" nie istnieje."
"Skipping import row, the value ""%s"" is not valid for the ""%s"" field.","Pomijam pozycję importu, wartość ""%s"" jest niepoprawna dla pola ""%s""."
"Some of the processed products have no SKU value defined. Please fill it prior to performing operations on these products.","Niektóre z przetworzonych produktów nie mają zdefiniowanego SKU. Prosimy uzupełnić to przed dalszymi operacjami na tych produktach."
"Some of the selected item options are not currently available.","Niektóre wybrane opcje nie są dostępne."
"Sort By","Sortuj wg"
"Sort Order","Kolejność sortowania"
"Source Model","Model źródłowy"
"Special Expires On: %s","Promocja wygasa: %s"
"Special Price:","Cena promocyjna:"
"Special Price: %s","Cena promocyjna: %s"
"Starting at:","Już od:"
"Static","Statyczny"
"Static block and products","Bloki statyczne i produkty"
"Static block only","Tylko blok statyczny"
"Status","Status"
"Stock Availability","Dostępność towaru"
"Store","Sklep"
"Store View","Widok sklepu"
"Stretch","Rozciągnij"
"Subscribe to RSS Feed","Subskrybuj kanał RSS"
"Super product attributes configuration","Konfiguracja cech dla super produktu"
"Synonym For","Synonim dla"
"System Properties","Właściwości systemowe"
"Tag Name","Nazwa tagu"
"Tax","Podatek"
"Template","Szablon"
"Text","Tekst"
"The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module","Moduł płaskiego katalogu ma ograniczenie do %2\$d filtrowalnych i/lub sortowalnych cech. Aktualnie masz tam %1\$d z nich. Prosimy zredukować liczbę filtrowalnych/sortowalnych cech w celu użycia tego modułu."
"The From Date value should be less than or equal to the To Date value.","Data początkowa nie może być późniejsza niż data końcowa"
"The attribute code \'%s\' is reserved by system. Please try another attribute code","Kod atrybutu '%s' jest zarezerwowany przez system. Spróbuj ponownie z innym kodem."
"The attribute model is not defined","Model cech jest niezdefioniowany"
"The attribute set has been saved.","Zestaw cech został zapisany."
"The base directory to upload file is not specified.","Bazowy katalog do przesłania pliku nie został podany."
"The category has been deleted.","Kategoria została usunięta."
"The category has been saved.","Kategoria została zapisana."
"The comparison list was cleared.","Lista porównania została opróżniona."
"The file '%s' for '%s' has an invalid extension","Plik '%s' dla '%s' ma nieprawidłowe rozszerzenie"
"The file '%s' you uploaded is larger than %s Megabytes allowed by server","Załadowany plik '%s' jest większy niż %s Mb dozwolonych na serwerze"
"The file you uploaded is larger than %s Megabytes allowed by server","Załądowany plik jest większy niż %s Mb dozwolonych na serwerze"
"The filters must be an array.","Filtry muszą być tablicą."
"The image contents is not valid base64 data.","Zawartość obrazka nie jest poprawną wartością base64."
"The image is not specified.","Obrazek nie został podany."
"The model collection resource name is not defined.","Nazwa zasobu modelu kolekcji jest niezdefiniowana."
"The product %s has been added to comparison list.","Produkt %s został dodany do listy porównania."
"The product %s has been removed from comparison list.","Produkt %s został usunięty z listy porównania."
"The product attribute has been deleted.","Cecha produktu została usunięta."
"The product attribute has been saved.","Cecha produktu została zapisana."
"The product has been created.","Produkt został utworzony."
"The product has been deleted.","Produkt został usunięty."
"The product has been duplicated.","Produkt został sklonowany."
"The product has been saved.","Produkt został zapisany."
"The product has required options","Produkt ma wymagane opcje"
"The review has been deleted","Opinia została usunięta"
"The review has been saved.","Opinia została zapisana."
"The review was removed by another user or does not exist.","Opinia została usunięta przez innego użytkownika lub nie istnieje."
"The search was deleted.","Wyszukiwanie zostało usunięte."
"The text is too long","Tekst jest za długi"
"There are no %s available.","Nie ma żadnych %s dostępnych."
"There are no customers for this alert","Nie ma klientów dla tego alertu"
"There are no customers for this alert.","Nie ma klientów dla tego alertu."
"There are no products matching the selection.","Brak produktów odpowiadających zapytaniu."
"There was an error while request processing.","Wystąpił błąd podczas przetwarzania polecenia."
"This Attribute no longer exists","Ta cecha już nie istnieje"
"This attribute cannot be deleted.","Ta cecha nie może być usunięta."
"This attribute cannot be edited.","Ta cecha nie może być edytowana."
"This attribute cannot be updated.","Ta cecha nie może być zaktualizowana."
"This attribute is used in configurable products.","Ta cecha jest używana w konfigurowalnych produktach."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Ta cecha jest używana w konfigurowalnych produktach. Nie możesz usunąć jej z zestawu cech."
"This attribute no longer exists","Taka cecha już nie istnieje"
"This attribute set no longer exists.","Ten zestaw cech już nie istnieje."
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Ta grupa zawiera cechy użyte w produktach konfigurowalnych. Przenieś te cechy do innej grupy i ponów próbę."
"This group contains system attributes. Please move system attributes to another group and try again.","Nie możesz usunąć cech z tego zestawu. Przenieś je do innego zestawu i ponów próbę."
"This is a required option","Ta opcja jest wymagana"
"This product no longer exists.","Ten produkt już nie istnieje."
"This search no longer exists.","To wyszukiwanie już nie istnieje."
"This setting will be applied when all prices in the specific price interval are equal.","Ustawienie zostanie zastosowane kiedy wszystkie ceny w okreslonym przedziale są równe."
"Tier Pricing","Poziomy cen"
"Tile","Kafelek"
"Time Format","Format czasu"
"Title","Tytuł"
"To reindex the enabled product(s), the store or product must be specified","W celu przeindeksowania włączonych produktów, sklep lub produkt muszą być wybrane."
"To see product price, add this item to your cart. You can always remove it later.","Dodaj ten produkt do koszyka, żeby zobaczyć jego cenę. Możesz go zawsze później usunąć."
"Top/Left","Góra/lewo"
"Top/Right","Góra/prawo"
"Total Qty Base Items","Łączna ilość podstawowych produktów"
"Total Qty Content Items","Łączna ilość zawartości jednostek treści"
"Total incl. Tax: %1$s","Łącznie z podatkiem: %1$s"
"Total of %d record(s) have been deleted.","Usunięto %d wpis(ów)."
"Total of %d record(s) have been updated.","Uaktualniono %d wpis(ów)."
"Total of %d record(s) were updated","Uaktualniono %d wpis(ów)"
"Type","Typ"
"URL Rewrite Management","Zarządzanie przekierowaniami URL"
"Unable to complete this request.","Nie udało się zakończyć tego polecenia."
"Unable to find a search term to delete.","Nie znaleziono pasującego terminu do usunięcia."
"Unable to find an attribute to delete.","Nie znaleziono cechy do usunięcia."
"Unable to get the product ID.","Nie udało się pobrać ID produktu."
"Unassigned Attributes","Nieprzypisane cechy"
"Unknown EAV indexer type ""%s"".","Nieznany typ indeksera EAV "%s"."
"Unknown attribute: %s.","Nieznana cecha: %s."
"Unsupported product type ""%s"".","Nieobsługiwany typ produktu "%s"."
"Up-sells","Produkty alternatywne"
"Update","Aktualizuj"
"Update Attributes","Aktualizuj cechy"
"Update Tier Price","Aktualizuj poziomy cen"
"Update assigned product","Zaktualizuj przypisany produkt"
"Update attribute","Aktualizuj cechę"
"Update attributes","Aktualizuj cechy"
"Update category","Aktualizuj kategorię"
"Update custom option of product","Aktualizuj indywidualne opcje produktu."
"Update product","Aktualizuj produkt"
"Update product image","Aktualizuj obrazek produktu"
"Update product link","Aktualizuj link produktu"
"Update product tier prices","Aktualizuj poziomy cenowe produktu"
"Update value of custom option","Aktualizuj wartość indywidualnej opcji"
"Upload new product image ","Załaduj nowy obrazek produktu "
"Use Canonical Link Meta Tag For Categories","Zastosuj meta tag Canonical dla kategorii"
"Use Canonical Link Meta Tag For Products","Zastosuj meta tag Canonical dla produktów"
"Use Categories Path for Product URLs","Użyj ścieżek kategorii dla adresów produktów"
"Use Config Settings","Użyj ustawień konfiguracyjnych"
"Use Default Value","Użyj wartości domyślnej"
"Use Flat Catalog Category","Użyj płaskiego katalogu kategorii"
"Use Flat Catalog Product","Użyj płaskiego katalogu produktów"
"Use In Layered Navigation","Używane w warstwowej nawigacji"
"Use In Search Results Layered Navigation","Używane w warstwowej nawigacji wyników wyszukiwania"
"Use JavaScript Calendar","Użyj kalendarza JavaScript"
"Use Static URLs for Media Content in WYSIWYG for Catalog","Zastosuj statyczne URLe dla mediów w edytorze WYSIWYG dla kategorii"
"Use To Create Configurable Product","Użyj do tworzenia konfigurowalnego produktu"
"Use Tree Like Category Sitemap","Użyj mapy witryny kategorii w formie drzewka"
"Use config","Użyj konfiguracji"
"Use default","Użyj domyślnych"
"Use for Promo Rule Conditions","Używaj w warunkach reguł promocyjnych"
"Use four-digit year format.","Prosimy o użycie czterocyfrowego formatu daty dla roku."
"Use in Advanced Search","Zastosuj w zaawansowanym wyszukiwaniu"
"Use in Layered Navigation","Zastosuj w warstwowej nawigacji"
"Use in Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Zastosuj w warstwowej nawigacji<br/>(można używać tylko z rozwijanymi listami)"
"Use in Quick Search","Zastosuj w szybkim wyszukiwaniu"
"Used for Sorting in Product Listing","Użyte dla sortowania produktów na listach"
"Used in Product Listing","Użyte w listach produktów"
"Value for ""%s"" is invalid.","Wartość dla "%s" jest nieprawidłowa."
"Value for ""%s"" is invalid: %s","Wartość dla "%s" jest nieprawidłowa: %s"
"Varchar","Tekst"
"View as","Zobacz jako"
"Virtual Product","Produkt wirtualny"
"Visibility","Widoczność"
"Visible","Widoczny"
"Visible on Catalog Pages on Front-end","Widoczne w na stronach katalogu"
"Visible on Product View Page on Front-end","Widoczne na karcie produktu"
"WYSIWYG Editor","Edytor WYSIEYG"
"Watermark","Znak wodny"
"Watermark Default Size","Domyślna wielkość znaku wodnego"
"Watermark Opacity, Percent","Przeźroczystość znaku wodnego, w procentach"
"Watermark Position","Pozycja znaku wodnego"
"We Also Recommend","Polecamy również"
"Website","Witryna"
"Website Item Must be checked","Należy wybrać witrynę."
"Website Store Must be checked","Należy wybrać sklep witryny."
"Websites","Witryny"
"What's this?","Co to jest?"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","Czy pokazywać opcję "Wszystko" na liście rozwijanej "Pokazuj X na stronie"."
"Will make search for the query above return results for this search.","Pozwoli zwrócić wyniki wyszukiwania powyższego zapytania dla tego zapytania."
"Wrong BuyRequest instance in options group.","Nieprawidłowe wystąpienie żądania zakupu w grupie opcji."
"Wrong configuration item instance in options group.","Nieprawidłowe jednostka konfiguracji w grupie opcji."
"Wrong configuration item option instance in options group.","Nieprawidłowe opcja jednostki konfiguracji w grupie opcji."
"Wrong option instance type in options group.","Nieprawidłowe wystąpienie typu opcji w grupie opcji."
"Wrong option type to get group instance.","Nieprawidłowe wystąpienie typu opcji dla grupy."
"Wrong product instance type in options group.","Nieprawidłowe wystąpienie typu produktu w opcjach grup."
"Wrong product type filter specified","Nieprawidłowy filtr typu produktu"
"Wrong product type to extract configurable options.","Nieprawidłowy typ produktu do wyciągnięcia opcji konfiguracyjnych."
"Year Range","Zakres lat"
"Yes","Tak"
"You cannot remove system attribute from this set.","Nie możesz usunąć cechy systemowej z tego zestawu."
"You have no items to compare.","Nie masz produktów do porównania."
"You may also be interested in the following product(s)","Mogą cię również zainteresować następujące produkty"
"Zoom In","Powiększ"
"Zoom Out","Zmniejsz"
"and","i"
"and above","i powyżej"
"categories","kategorie"
"each","każdy"
"ex. http://domain.com","np. http://domena.pl"
"leave blank if its not an image","pozostaw puste, jeśli to nie jest obrazek"
"per page","na stronę"
"products","produkty"
"px.","px."
"save","zapisz"
"select all","zaznacz wszystko"
"unselect all","odznacz wszystko"
"x","x"
